1, 2, 5, 20, T
1, 3, 12, 100, X
0, 2, 21, 30, T
1, 1, 10, 25, T
0, 1, 15, 50, X
1, 3, 18, 80, T
1, 4, 7, 10, T
1, 4, 25, 40, X
0, 2, 8, 60, X
1, 3, 20, 70, X
1, 1, 6, 15, T
1, 2, 19, 45, X
1, 3, 14, 35, T
0, 1, 9, 10, T
1, 4, 16, 55, X
1, 3, 22, 75, T
1, 2, 13, 40, X
1, 4, 11, 30, T
1, 1, 20, 90, X
0, 2, 17, 25, T
0, 3, 9, 20, T
1, 1, 14, 65, X
1, 4, 12, 50, T
1, 2, 7, 10, T
1, 3, 19, 80, X
1, 1, 5, 35, X
1, 4, 18, 60, X
0, 2, 16, 70, X
1, 3, 10, 20, X
1, 1, 13, 40, T
0, 2, 22, 55, X
1, 4, 8, 25, T
1, 3, 12, 30, T
1, 1, 11, 20, T
1, 4, 9, 45, X
1, 2, 15, 55, T
1, 3, 7, 40, X
1, 1, 20, 70, T
1, 2, 18, 50, X
0, 4, 13, 35, X
1, 3, 16, 60, X
1, 2, 11, 25, T
0, 4, 14, 80, X
1, 3, 12, 30, T
1, 1, 10, 60, X
1, 4, 8, 15, T
1, 2, 20, 70, X
1, 3, 15, 40, T
1, 4, 11, 55, X
0, 2, 5, 20, T
0, 3, 12, 100, X
0, 2, 21, 30, T
0, 1, 10, 25, T
1, 1, 15, 50, X
0, 3, 18, 80, T
0, 4, 7, 10, T
0, 4, 25, 40, X
0, 2, 8, 60, T
0, 3, 20, 70, X
1, 1, 6, 15, T
0, 2, 19, 45, X
0, 3, 14, 35, T
0, 1, 9, 10, T
0, 4, 16, 55, X
0, 3, 22, 75, T
0, 2, 13, 40, T
0, 4, 11, 30, T
0, 1, 20, 90, X
0, 2, 17, 25, T
0, 3, 9, 20, T
0, 1, 14, 65, X
0, 4, 12, 50, T
0, 2, 7, 10, T
0, 3, 19, 80, X
0, 1, 5, 35, T
0, 4, 18, 60, X
0, 2, 16, 70, T
0, 3, 10, 20, X
0, 1, 13, 40, T
0, 2, 22, 55, X
0, 4, 8, 25, T
0, 3, 12, 30, X
1, 1, 11, 20, T
0, 4, 9, 45, X
0, 2, 15, 55, T
0, 3, 7, 40, X
0, 1, 20, 70, T
0, 2, 18, 50, X
0, 4, 13, 35, T
0, 3, 16, 60, X
0, 2, 11, 25, T
1, 4, 14, 80, X
0, 3, 12, 30, T
0, 1, 10, 60, X
0, 4, 8, 15, T
1, 2, 20, 70, X
0, 3, 15, 40, T
0, 4, 11, 55, X
